section,category,metric,type,date,value
Vaccine Administration,Administration,Daily,Moderna,2021-02-02,11690
Vaccine Administration,Administration,Daily,Pfizer,2021-02-02,10495
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-02,8
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-03,694880
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-03,5
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-03,354333
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-03,340318
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-03,201
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-03,28060
Vaccine Administration,Administration,Daily,Janssen,2021-02-03,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-03,14319
Vaccine Administration,Administration,Daily,Pfizer,2021-02-03,13734
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-03,12
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-04,730838
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-04,5
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-04,373556
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-04,357052
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-04,202
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-04,35958
Vaccine Administration,Administration,Daily,Janssen,2021-02-04,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-04,19223
Vaccine Administration,Administration,Daily,Pfizer,2021-02-04,16734
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-04,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-05,769780
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-05,7
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-05,393565
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-05,375975
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-05,210
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-05,38942
Vaccine Administration,Administration,Daily,Janssen,2021-02-05,2
Vaccine Administration,Administration,Daily,Moderna,2021-02-05,20009
Vaccine Administration,Administration,Daily,Pfizer,2021-02-05,18923
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-05,8
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-06,800124
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-06,7
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-06,410116
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-06,389747
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-06,232
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-06,30344
Vaccine Administration,Administration,Daily,Janssen,2021-02-06,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-06,16551
Vaccine Administration,Administration,Daily,Pfizer,2021-02-06,13772
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-06,22
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-07,804414
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-07,7
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-07,412099
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-07,392052
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-07,234
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-07,1030376
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-02-07,8
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-07,522196
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-07,507834
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-07,276
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-07,4290
Vaccine Administration,Administration,Daily,Janssen,2021-02-07,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-07,1983
Vaccine Administration,Administration,Daily,Pfizer,2021-02-07,2305
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-07,2
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-07,230214
Vaccine Administration,Administration,Weekly,Janssen,2021-02-07,1
Vaccine Administration,Administration,Weekly,Moderna,2021-02-07,112080
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-07,118087
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-07,44
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-07,1109250
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-02-07,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-07,643200
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-07,466050
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-07,180650
Vaccine Administration,Distribution,Weekly,Janssen,2021-02-07,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-07,89000
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-07,91650
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-08,829451
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-08,7
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-08,423739
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-08,405448
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-08,235
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-08,25037
Vaccine Administration,Administration,Daily,Janssen,2021-02-08,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-08,11640
Vaccine Administration,Administration,Daily,Pfizer,2021-02-08,13396
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-08,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-09,857739
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-09,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-09,437178
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-09,420290
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-09,242
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-09,28288
Vaccine Administration,Administration,Daily,Janssen,2021-02-09,1
Vaccine Administration,Administration,Daily,Moderna,2021-02-09,13439
Vaccine Administration,Administration,Daily,Pfizer,2021-02-09,14842
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-09,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-10,891534
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-10,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-10,456995
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-10,434269
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-10,243
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-10,33795
Vaccine Administration,Administration,Daily,Janssen,2021-02-10,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-10,19817
Vaccine Administration,Administration,Daily,Pfizer,2021-02-10,13979
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-10,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-11,936344
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-11,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-11,480844
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-11,455225
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-11,248
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-11,44810
Vaccine Administration,Administration,Daily,Janssen,2021-02-11,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-11,23849
Vaccine Administration,Administration,Daily,Pfizer,2021-02-11,20956
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-11,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-12,981810
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-12,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-12,504169
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-12,477359
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-12,255
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-12,45466
Vaccine Administration,Administration,Daily,Janssen,2021-02-12,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-12,23325
Vaccine Administration,Administration,Daily,Pfizer,2021-02-12,22134
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-12,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-13,1030332
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-13,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-13,522196
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-13,507834
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-13,276
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-13,48522
Vaccine Administration,Administration,Daily,Janssen,2021-02-13,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-13,18027
Vaccine Administration,Administration,Daily,Pfizer,2021-02-13,30475
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-13,21
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-14,1047976
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-14,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-14,529011
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-14,518660
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-14,279
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-14,1233767
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-02-14,10
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-14,621023
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-14,612370
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-14,299
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-14,17644
Vaccine Administration,Administration,Daily,Janssen,2021-02-14,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-14,6815
Vaccine Administration,Administration,Daily,Pfizer,2021-02-14,10826
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-14,3
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-14,203391
Vaccine Administration,Administration,Weekly,Janssen,2021-02-14,2
Vaccine Administration,Administration,Weekly,Moderna,2021-02-14,98827
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-14,104536
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-14,23
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-14,1283655
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-02-14,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-14,732000
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-14,551655
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-14,174405
Vaccine Administration,Distribution,Weekly,Janssen,2021-02-14,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-14,88800
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-14,85605
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-15,1074598
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-15,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-15,541243
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-15,533046
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-15,283
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-15,26622
Vaccine Administration,Administration,Daily,Janssen,2021-02-15,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-15,12232
Vaccine Administration,Administration,Daily,Pfizer,2021-02-15,14386
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-15,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-16,1099298
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-16,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-16,555100
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-16,543882
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-16,288
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-16,24700
Vaccine Administration,Administration,Daily,Janssen,2021-02-16,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-16,13857
Vaccine Administration,Administration,Daily,Pfizer,2021-02-16,10836
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-16,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-17,1130748
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-17,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-17,572260
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-17,558172
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-17,291
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-17,31450
Vaccine Administration,Administration,Daily,Janssen,2021-02-17,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-17,17160
Vaccine Administration,Administration,Daily,Pfizer,2021-02-17,14290
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-17,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-18,1166229
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-18,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-18,592450
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-18,573463
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-18,294
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-18,35481
Vaccine Administration,Administration,Daily,Janssen,2021-02-18,1
Vaccine Administration,Administration,Daily,Moderna,2021-02-18,20190
Vaccine Administration,Administration,Daily,Pfizer,2021-02-18,15291
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-18,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-19,1202023
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-19,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-19,610773
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-19,590933
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-19,296
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-19,35794
Vaccine Administration,Administration,Daily,Janssen,2021-02-19,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-19,18323
Vaccine Administration,Administration,Daily,Pfizer,2021-02-19,17470
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-19,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-20,1233712
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-20,10
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-20,621023
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-20,612370
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-20,299
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-20,31689
Vaccine Administration,Administration,Daily,Janssen,2021-02-20,1
Vaccine Administration,Administration,Daily,Moderna,2021-02-20,10250
Vaccine Administration,Administration,Daily,Pfizer,2021-02-20,21437
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-20,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-21,1245067
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-21,10
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-21,623630
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-21,621114
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-21,303
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-21,1434442
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-02-21,13
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-21,704849
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-21,729172
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-21,339
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-21,11355
Vaccine Administration,Administration,Daily,Janssen,2021-02-21,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-21,2607
Vaccine Administration,Administration,Daily,Pfizer,2021-02-21,8744
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-21,4
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-21,200675
Vaccine Administration,Administration,Weekly,Janssen,2021-02-21,3
Vaccine Administration,Administration,Weekly,Moderna,2021-02-21,83826
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-21,116802
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-21,40
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-21,1479495
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-02-21,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-21,831900
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-21,647595
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-21,195840
Vaccine Administration,Distribution,Weekly,Janssen,2021-02-21,0
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-21,99900
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-21,95940
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-22,1265065
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-22,12
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-22,631393
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-22,633346
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-22,306
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-22,19998
Vaccine Administration,Administration,Daily,Janssen,2021-02-22,2
Vaccine Administration,Administration,Daily,Moderna,2021-02-22,7763
Vaccine Administration,Administration,Daily,Pfizer,2021-02-22,12232
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-22,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-23,1286304
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-23,12
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-23,640068
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-23,645905
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-23,311
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-23,21239
Vaccine Administration,Administration,Daily,Janssen,2021-02-23,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-23,8675
Vaccine Administration,Administration,Daily,Pfizer,2021-02-23,12559
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-23,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-24,1316746
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-24,12
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-24,654289
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-24,662113
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-24,327
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-24,30442
Vaccine Administration,Administration,Daily,Janssen,2021-02-24,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-24,14221
Vaccine Administration,Administration,Daily,Pfizer,2021-02-24,16208
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-24,16
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-25,1354706
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-25,12
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-25,670586
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-25,683773
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-25,330
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-25,37960
Vaccine Administration,Administration,Daily,Janssen,2021-02-25,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-25,16297
Vaccine Administration,Administration,Daily,Pfizer,2021-02-25,21660
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-25,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-26,1397731
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-26,13
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-26,690624
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-26,706756
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-26,333
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-26,43025
Vaccine Administration,Administration,Daily,Janssen,2021-02-26,1
Vaccine Administration,Administration,Daily,Moderna,2021-02-26,20038
Vaccine Administration,Administration,Daily,Pfizer,2021-02-26,22983
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-26,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-27,1434379
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-27,13
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-27,704849
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-27,729172
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-27,339
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-27,36648
Vaccine Administration,Administration,Daily,Janssen,2021-02-27,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-27,14225
Vaccine Administration,Administration,Daily,Pfizer,2021-02-27,22416
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-27,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-28,1443749
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-02-28,13
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-28,710045
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-28,733344
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-28,340
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-28,1704079
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2021-02-28,22505
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-28,818582
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-28,862550
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-28,370
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-28,9370
Vaccine Administration,Administration,Daily,Janssen,2021-02-28,0
Vaccine Administration,Administration,Daily,Moderna,2021-02-28,5196
Vaccine Administration,Administration,Daily,Pfizer,2021-02-28,4172
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-28,1
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-28,269637
Vaccine Administration,Administration,Weekly,Janssen,2021-02-28,22492
Vaccine Administration,Administration,Weekly,Moderna,2021-02-28,113733
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-28,133378
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-28,31
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-28,1737815
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2021-02-28,41900
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-28,936000
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-28,759915
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-28,258320
Vaccine Administration,Distribution,Weekly,Janssen,2021-02-28,41900
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-28,104100
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-28,112320
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-01,1473010
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-01,14
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-01,723846
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-01,748797
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-01,347
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-01,29261
Vaccine Administration,Administration,Daily,Janssen,2021-03-01,1
Vaccine Administration,Administration,Daily,Moderna,2021-03-01,13801
Vaccine Administration,Administration,Daily,Pfizer,2021-03-01,15453
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-01,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-02,1504656
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-02,16
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-02,739383
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-02,764897
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-02,354
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-02,31646
Vaccine Administration,Administration,Daily,Janssen,2021-03-02,2
Vaccine Administration,Administration,Daily,Moderna,2021-03-02,15537
Vaccine Administration,Administration,Daily,Pfizer,2021-03-02,16100
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-02,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-03,1536447
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-03,300
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-03,756662
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-03,779121
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-03,359
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-03,31791
Vaccine Administration,Administration,Daily,Janssen,2021-03-03,284
Vaccine Administration,Administration,Daily,Moderna,2021-03-03,17279
Vaccine Administration,Administration,Daily,Pfizer,2021-03-03,14224
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-03-03,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-03-04,1579603
Vaccine Administration,Administration,Cumulative Daily,Janssen,2021-03-04,1183
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-03-04,777562
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-03-04,800492
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-03-04,362
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-03-04,43156
Vaccine Administration,Administration,Daily,Janssen,2021-03-04,883
Vaccine Administration,Administration,Daily,Moderna,2021-03-04,20900
Vaccine Administration,Administration,Daily,Pfizer,2021-03-04,21371
